seed,op,mae,aurc
0,gcn,0.14816631095582677,0.19488781789284693
0,heat,0.07654054494130172,0.08874142091097309
0,qw,0.06838834094885511,0.07512078482188929
1,gcn,0.1758318961735561,0.21910046611868705
1,heat,0.06290946988156065,0.06711362533952404
1,qw,0.06316031181697988,0.063277892439949
2,gcn,0.16757228674021352,0.1693054669702202
2,heat,0.06800746594760285,0.09980723780681845
2,qw,0.08243418550012971,0.10786439433318915
3,gcn,0.18139387347918906,0.25744079626216243
3,heat,0.06304489570020726,0.06485867980919056
3,qw,0.06170375202076905,0.06332882231680334
4,gcn,0.13976263603421324,0.16799888961264062
4,heat,0.07246023445446609,0.10609623127055723
4,qw,0.07995598764285784,0.07770185979166479
